fill,run,LS,TrainPU
5412,283171,48,56.42
5412,283171,49,55.92
5412,283171,50,54.99
5412,283171,51,54.05
5412,283171,52,52.52
5412,283171,53,53.21
5412,283171,54,55.76
5412,283171,55,55.74
5412,283171,56,55.63
5412,283171,57,55.5
5412,283171,58,55.43
5412,283171,59,55.26
5412,283171,60,55.28
5412,283171,61,55.18
5412,283171,62,55.13
5412,283171,63,54.99
5412,283171,64,54.91
5412,283171,65,54.81
5412,283171,66,54.67
5412,283171,67,54.66
5412,283171,68,54.58
5412,283171,69,54.53
5412,283171,70,54.4
5412,283171,71,54.3
5412,283171,72,54.24
5412,283171,73,54.16
5412,283171,74,54.0
5412,283171,75,53.97
5412,283171,76,53.94
5412,283171,77,53.93
5412,283171,78,53.79
5412,283171,79,53.69
5412,283171,80,53.62
5412,283171,81,53.54
5412,283171,82,53.45
5412,283171,83,53.36
5412,283171,84,53.34
5412,283171,85,53.29
5412,283171,86,53.18
5412,283171,87,53.08
5412,283171,88,53.01
5412,283171,89,52.92
5412,283171,90,52.8
5412,283171,91,52.77
5412,283171,92,52.76
5412,283171,93,52.64
5412,283171,94,52.55
5412,283171,95,52.48
5412,283171,96,52.43
5412,283171,97,52.35
5412,283171,98,52.28
5412,283171,99,52.21
5412,283171,100,52.12
5412,283171,101,52.02
5412,283171,102,52.01
5412,283171,103,51.98
5412,283171,104,51.85
5412,283171,105,51.78
5412,283171,106,51.72
5412,283171,107,51.63
5412,283171,108,51.58
5412,283171,109,51.52
5412,283171,110,51.36
5412,283171,111,51.38
5412,283171,112,51.37
5412,283171,126,50.48
5412,283171,127,50.43
5412,283171,128,50.37
5412,283171,129,50.31
5412,283171,130,50.18
5412,283171,131,50.19
5412,283171,132,50.17
5412,283171,133,50.05
5412,283171,134,49.99
5412,283171,135,49.94
5412,283171,136,49.87
5412,283171,137,49.8
5412,283171,138,49.74
5412,283171,139,49.68
5412,283171,140,49.61
5412,283171,141,49.55
5412,283171,142,49.42
5412,283171,143,49.42
5412,283171,144,49.41
5412,283171,145,49.3
5412,283171,146,49.24
5412,283171,147,49.17
5412,283171,148,49.11
5412,283171,149,49.06
5412,283171,150,49.0
5412,283171,151,48.94
5412,283171,152,48.88
5412,283171,153,48.83
5412,283171,154,48.75
5412,283171,155,48.7
5412,283171,156,48.67
5412,283171,157,48.59
5412,283171,158,48.53
5412,283171,159,48.48
5412,283171,160,48.42
5412,283171,161,48.38
5412,283171,162,48.3
5412,283171,163,48.24
5412,283171,164,48.18
5412,283171,165,48.12
5412,283171,166,48.06
5412,283171,167,48.0
5412,283171,168,47.96
5412,283171,169,47.89
5412,283171,170,47.83
5412,283171,171,47.79
5412,283171,172,47.72
5412,283171,173,47.66
5412,283171,174,47.62
5412,283171,175,47.56
5412,283171,176,47.51
5412,283171,177,47.42
5412,283171,178,47.38
5412,283171,179,47.38
5412,283171,180,47.29
5412,283171,181,47.21
5412,283171,182,47.14
5412,283171,183,47.1
5412,283171,184,47.05
5412,283171,185,47.0
5412,283171,186,46.95
5412,283171,187,46.9
5412,283171,188,46.84
5412,283171,189,46.78
5412,283171,190,46.73
5412,283171,191,46.69
5412,283171,192,46.57
5412,283171,193,46.46
5412,283171,194,46.45
5412,283171,195,46.43
5412,283171,196,46.37
5412,283171,197,46.37
5412,283171,198,46.31
5412,283171,199,46.2
5412,283171,200,46.15
5412,283171,201,46.08
5412,283171,202,46.07
5412,283171,203,46.0
5412,283171,204,45.93
5412,283171,205,45.89
5412,283171,206,45.84
5412,283171,207,45.78
5412,283171,208,45.72
5412,283171,209,45.65
5412,283171,210,45.64
5412,283171,211,45.54
5412,283171,212,45.55
5412,283171,213,45.47
5412,283171,214,45.42
5412,283171,215,45.35
5412,283171,216,45.3
5412,283171,217,45.22
5412,283171,218,45.21
5412,283171,219,45.11
5412,283171,220,45.09
5412,283171,221,45.03
5412,283171,222,44.98
5412,283171,223,44.92
5412,283171,224,44.88
5412,283171,225,44.81
5412,283171,226,44.78
5412,283171,227,44.69
5412,283171,228,44.68
5412,283171,229,44.6
5412,283171,230,44.56
5412,283171,231,44.5
5412,283171,232,44.45
5412,283171,233,44.4
5412,283171,234,44.36
5412,283171,235,44.28
5412,283171,236,43.61
5412,283171,237,42.84
5412,283171,238,43.67
5412,283171,239,42.13
5412,283171,240,42.33
5412,283171,241,44.18
5412,283171,242,44.18
5412,283171,243,44.12
5412,283171,244,44.07
5412,283171,245,44.0
5412,283171,246,43.95
5412,283171,247,43.9
5412,283171,248,43.94
5412,283171,249,43.82
5412,283171,250,43.79
5412,283171,251,43.73
5412,283171,252,43.68
5412,283171,253,43.65
5412,283171,254,43.6
5412,283171,255,43.55
5412,283171,256,43.5
5412,283171,257,43.46
5412,283171,258,43.43
5412,283171,259,43.38
5412,283171,260,43.33
5412,283171,261,43.28
5412,283171,262,43.22
5412,283171,263,43.13
5412,283171,264,43.11
5412,283171,265,43.07
5412,283171,266,43.04
5412,283171,267,43.0
5412,283171,268,42.95
5412,283171,269,42.91
5412,283171,270,42.86
5412,283171,271,42.83
5412,283171,272,42.8
5412,283171,273,42.74
5412,283171,274,42.64
5412,283171,275,42.67
5412,283171,276,42.62
5412,283171,277,42.56
5412,283171,278,42.51
5412,283171,279,42.47
5412,283171,280,42.39
5412,283171,281,42.38
5412,283171,282,42.33
5412,283171,283,42.26
5412,283171,284,42.21
5412,283171,285,42.17
5412,283171,286,42.11
5412,283171,287,42.14
5412,283171,288,42.07
5412,283171,289,42.0
5412,283171,290,41.99
5412,283171,291,41.95
5412,283171,292,41.91
5412,283171,293,41.84
5412,283171,294,41.8
5412,283171,295,41.76
5412,283171,296,41.74
5412,283171,297,41.68
5412,283171,298,41.64
5412,283171,299,41.58
5412,283171,300,41.53
5412,283171,301,41.53
5412,283171,302,41.49
5412,283171,303,41.44
5412,283171,304,41.38
5412,283171,305,41.34
5412,283171,306,41.31
5412,283171,307,41.27
5412,283171,308,41.23
5412,283171,309,41.15
5412,283171,310,41.17
5412,283171,311,41.14
5412,283171,312,41.07
5412,283171,313,41.02
5412,283171,314,40.98
5412,283171,315,40.95
5412,283171,316,40.9
5412,283171,317,40.86
5412,283171,318,40.8
5412,283171,319,40.79
5412,283171,320,40.76
5412,283171,321,40.72
5412,283171,322,40.67
5412,283171,323,40.62
5412,283171,324,40.59
5412,283171,325,40.55
5412,283171,326,40.5
5412,283171,327,40.48
5412,283171,328,40.47
5412,283171,329,40.39
5412,283171,330,40.36
5412,283171,331,40.32
5412,283171,332,40.26
5412,283171,333,40.22
5412,283171,334,40.21
5412,283171,335,40.19
5412,283171,336,40.13
5412,283171,337,40.07
5412,283171,338,40.04
5412,283171,339,39.99
5412,283171,340,39.95
5412,283171,341,39.94
5412,283171,342,39.92
5412,283171,343,39.86
5412,283171,344,39.82
5412,283171,345,39.8
5412,283171,346,39.71
5412,283171,347,39.71
5412,283171,348,39.67
5412,283171,349,39.67
5412,283171,350,39.6
5412,283171,351,39.54
5412,283171,352,39.52
5412,283171,353,39.42
5412,283171,354,39.46
5412,283171,355,39.43
5412,283171,356,39.39
5412,283171,357,39.32
5412,283171,358,39.3
5412,283171,359,39.24
5412,283171,360,39.22
5412,283171,361,39.2
5412,283171,362,39.17
5412,283171,363,39.14
5412,283171,364,39.1
5412,283171,365,39.05
5412,283171,366,38.93
5412,283171,367,39.01
5412,283171,368,38.98
5412,283171,369,38.91
5412,283171,370,38.86
5412,283171,371,38.82
5412,283171,372,38.78
5412,283171,373,38.74
5412,283171,374,38.7
5412,283171,375,38.66
5412,283171,376,38.66
5412,283171,377,38.62
5412,283171,378,38.58
5412,283171,379,38.54
5412,283171,380,38.51
5412,283171,381,38.45
5412,283171,382,38.37
5412,283171,383,38.39
5412,283171,384,38.42
5412,283171,385,38.34
5412,283171,386,38.28
5412,283171,387,38.23
5412,283171,388,38.22
5412,283171,389,38.18
5412,283171,390,38.13
5412,283171,391,38.07
5412,283171,392,38.06
5412,283171,393,38.04
5412,283171,394,38.03
5412,283171,395,37.97
5412,283171,396,37.93
5412,283171,397,37.89
5412,283171,398,37.86
5412,283171,399,37.82
5412,283171,400,37.79
5412,283171,401,37.7
5412,283171,402,37.71
5412,283171,403,37.72
5412,283171,404,37.66
5412,283171,405,37.61
5412,283171,406,37.56
5412,283171,407,37.54
5412,283171,408,37.49
5412,283171,409,37.48
5412,283171,410,37.44
5412,283171,411,37.41
5412,283171,412,37.36
5412,283171,413,37.34
5412,283171,414,37.28
5412,283171,415,37.24
5412,283171,416,37.24
5412,283171,417,37.23
5412,283171,418,37.18
5412,283171,419,37.14
5412,283171,420,37.11
5412,283171,421,37.07
5412,283171,422,37.02
5412,283171,423,36.99
5412,283171,424,36.97
5412,283171,425,36.94
5412,283171,426,36.89
5412,283171,427,36.84
5412,283171,428,36.75
5412,283171,429,36.79
5412,283171,430,36.79
5412,283171,431,36.73
5412,283171,432,36.68
5412,283171,433,36.66
5412,283171,434,36.64
5412,283171,435,36.6
5412,283171,436,36.56
5412,283171,437,36.54
5412,283171,438,36.5
5412,283171,439,36.47
5412,283171,440,36.44
5412,283171,441,36.4
5412,283171,442,36.37
5412,283171,443,36.34
5412,283171,444,36.31
5412,283171,445,36.26
5412,283171,446,36.22
5412,283171,447,36.18
5412,283171,448,36.15
5412,283171,449,36.11
5412,283171,450,36.07
5412,283171,451,35.98
5412,283171,452,36.01
5412,283171,453,36.03
5412,283171,454,35.96
5412,283171,455,35.91
5412,283171,456,35.88
5412,283171,457,35.86
5412,283171,458,35.84
5412,283171,459,35.8
5412,283171,460,35.75
5412,283171,461,35.7
5412,283171,462,35.68
5412,283171,463,35.65
5412,283171,464,35.63
5412,283171,465,35.59
5412,283171,466,35.55
5412,283171,467,35.52
5412,283171,468,35.51
5412,283171,469,35.46
5412,283171,470,35.38
5412,283171,471,35.34
5412,283171,472,35.38
5412,283171,473,35.37
5412,283171,474,35.28
5412,283171,475,35.27
5412,283171,476,35.23
5412,283171,477,35.2
5412,283171,478,35.18
5412,283171,479,35.13
5412,283171,480,35.11
5412,283171,481,35.1
5412,283171,482,35.07
5412,283171,483,35.05
5412,283171,484,35.02
5412,283171,485,35.0
5412,283171,486,34.97
5412,283171,487,34.95
5412,283171,488,34.91
5412,283171,489,34.88
5412,283171,490,34.85
5412,283171,491,34.81
5412,283171,492,34.81
5412,283171,493,34.76
5412,283171,494,34.73
5412,283171,495,34.68
5412,283171,496,34.67
5412,283171,497,34.66
5412,283171,498,34.62
5412,283171,499,34.5
5412,283171,500,34.57
5412,283171,501,34.55
5412,283171,502,34.49
5412,283171,503,34.45
5412,283171,504,34.43
5412,283171,505,34.39
5412,283171,506,34.36
5412,283171,507,34.32
5412,283171,508,34.3
5412,283171,509,34.29
5412,283171,510,34.27
5412,283171,511,34.25
5412,283171,512,34.22
5412,283171,513,34.2
5412,283171,514,34.18
5412,283171,515,34.16
5412,283171,516,34.12
5412,283171,517,34.09
5412,283171,518,34.07
5412,283171,519,34.02
5412,283171,520,34.0
5412,283171,521,33.92
5412,283171,522,33.91
5412,283171,523,33.92
5412,283171,524,33.89
5412,283171,525,33.86
5412,283171,526,33.87
5412,283171,527,33.85
5412,283171,528,33.82
5412,283171,529,33.8
5412,283171,530,33.78
